match_id,steam_id,total_money_per_map,total_money
63584,76561198120157641,70250.0,210750
63584,76561198121512116,71416.66666666667,214250
63584,76561198128463598,69350.0,208050
63584,76561198137694535,64183.333333333336,192550
63584,76561198402322152,69650.0,208950
63585,76561197963914156,72950.0,145900
63585,76561198009176907,68500.0,137000
63585,76561198080664038,66850.0,133700
63585,76561198129084615,74350.0,148700
63585,76561198154904607,76200.0,152400
63585,76561198174263909,75300.0,150600
63585,76561198186361079,67800.0,135600
63585,76561198251304526,71400.0,142800
63585,76561198303381179,71800.0,143600
63585,76561198316792628,66250.0,132500
63586,76561197972242917,82775.0,165550
63586,76561197975788552,80525.0,161050
63586,76561197999825422,84175.0,168350
63586,76561198001557762,83375.0,166750
63586,76561198012872053,88775.0,177550
63586,76561198025448130,80725.0,161450
63586,76561198041683378,85375.0,170750
63586,76561198044840457,81325.0,162650
63586,76561198068944951,81775.0,163550
63586,76561198119098292,78025.0,156050
63587,76561197960282565,84466.66666666667,253400
63587,76561197963694984,84433.33333333333,253300
63587,76561197974106188,84616.66666666667,253850
63587,76561197977791735,84183.33333333333,252550
63587,76561197980944787,84833.33333333333,254500
63587,76561198045739761,82566.66666666667,247700
63587,76561198098344244,86100.0,258300
63587,76561198170631091,85950.0,257850
63587,76561198178801031,85516.66666666667,256550
63587,76561198202134392,83983.33333333333,251950
63588,76561197963914156,73075.0,146150
63588,76561198018211001,67975.0,135950
63588,76561198102158293,66325.0,132650
63588,76561198129084615,72625.0,145250
63588,76561198129793636,65275.0,130550
63588,76561198130153710,65275.0,130550
63588,76561198154904607,71925.0,143850
63588,76561198174263909,71475.0,142950
63588,76561198251304526,71325.0,142650
63588,76561198316213980,69175.0,138350
63590,76561197960282565,67950.0,203850
63590,76561197960710573,68683.33333333333,206050
63590,76561197963694984,66383.33333333333,199150
63590,76561197980944787,69516.66666666667,208550
63590,76561198013295375,67216.66666666667,201650
63590,76561198031890115,68283.33333333333,204850
63590,76561198035581101,66916.66666666667,200750
63590,76561198045739761,66016.66666666667,198050
63590,76561198047876970,66650.0,199950
63590,76561198098344244,68983.33333333333,206950
63591,76561197985802927,62700.0,125400
63591,76561197994899299,64450.0,128900
63591,76561198003521527,70750.0,141500
63591,76561198014818598,74000.0,148000
63591,76561198040194649,68000.0,136000
63591,76561198068342553,62350.0,124700
63591,76561198074310843,68800.0,137600
63591,76561198077245619,61750.0,123500
63591,76561198087658989,69050.0,138100
63591,76561198129966157,62050.0,124100
63592,76561197960511657,80300.0,240900
63592,76561197974106188,83166.66666666667,249500
63592,76561197977791735,84433.33333333333,253300
63592,76561198054929073,82266.66666666667,246800
63592,76561198058382040,81100.0,243300
63592,76561198124884044,80266.66666666667,240800
63592,76561198162661482,82266.66666666667,246800
63592,76561198170631091,85200.0,255600
63592,76561198178801031,84366.66666666667,253100
63592,76561198202134392,82500.0,247500
63593,76561197978321481,77825.0,155650
63593,76561197982141573,72800.0,145600
63593,76561197985246786,75050.0,150100
63593,76561197986829261,74550.0,149100
63593,76561197994395491,76975.0,153950
63593,76561197997981170,78075.0,156150
63593,76561198012987839,79225.0,158450
63593,76561198047402862,77325.0,154650
63593,76561198076696741,74650.0,149300
63593,76561198081687729,75350.0,150700
63594,76561197973730803,70866.66666666667,212600
63594,76561197979820713,67116.66666666667,201350
63594,76561197991451104,72033.33333333333,216100
63594,76561198010975327,72500.0,217500
63594,76561198050922008,68116.66666666667,204350
63594,76561198064353169,69966.66666666667,209900
63594,76561198085355849,66950.0,200850
63594,76561198110640650,66516.66666666667,199550
63594,76561198118196092,72100.0,216300
63594,76561198260883606,68616.66666666667,205850
63595,76561197962148507,85450.0,256350
63595,76561197991432466,86650.0,259950
63595,76561198018566394,84550.0,253650
63595,76561198027348753,85950.0,257850
63595,76561198031908632,87616.66666666667,262850
63595,76561198071702537,83716.66666666667,251150
63595,76561198137761601,84083.33333333333,252250
63595,76561198146202997,85216.66666666667,255650
63595,76561198210763837,84150.0,252450
63595,76561198252434500,86616.66666666667,259850
63597,76561197967516987,73075.0,146150
63597,76561197976668300,68600.0,137200
63597,76561198028514655,73425.0,146850
63597,76561198067197966,76025.0,152050
63597,76561198079574545,74375.0,148750
63597,76561198131049965,68100.0,136200
63597,76561198237127518,66550.0,133100
63597,76561198264023620,66800.0,133600
63597,76561198394158362,70675.0,141350
63597,76561198436078877,67200.0,134400
63598,76561197960302423,72500.0,145000
63598,76561197961631761,69850.0,139700
63598,76561197963516673,78200.0,156400
63598,76561197984266377,75300.0,150600
63598,76561197992220633,71150.0,142300
63598,76561198020474058,80250.0,160500
63598,76561198060800025,72150.0,144300
63598,76561198091727390,77600.0,155200
63598,76561198145536583,74000.0,148000
63598,76561198166526925,78300.0,156600
63599,76561197974113556,77025.0,154050
63599,76561197979927243,73050.0,146100
63599,76561198017094694,78750.0,157500
63599,76561198045482283,76025.0,152050
63599,76561198061971891,74500.0,149000
63599,76561198074941114,80075.0,160150
63599,76561198121509225,73450.0,146900
63599,76561198144986400,80475.0,160950
63599,76561198183003671,78925.0,157850
63599,76561198188443759,73500.0,147000
