,match_id,steam_id,total_money_per_map,total_money
19618,67167,76561198068168375,80100.0,160200
19619,67167,76561198068506849,77500.0,155000
19620,67167,76561198086803740,79400.0,158800
19621,67167,76561198326172243,75800.0,151600
19622,67168,76561198002087738,79900.0,79900
19623,67168,76561198034781940,81400.0,81400
19624,67168,76561198045379532,84400.0,84400
19625,67168,76561198071369576,77500.0,77500
19626,67168,76561198129056988,77200.0,77200
19627,67168,76561198143868310,75400.0,75400
19628,67168,76561198152052817,83000.0,83000
19629,67168,76561198352656104,78200.0,78200
19630,67168,76561198358424861,83800.0,83800
19631,67168,76561198402229798,84300.0,84300
19632,67169,76561198010075210,71850.0,143700
19633,67169,76561198091571276,73050.0,146100
19634,67169,76561198094954668,71350.0,142700
19635,67169,76561198137694535,72100.0,144200
19636,67169,76561198392363720,77050.0,154100
19637,67169,76561198441362330,77750.0,155500
19638,67169,76561198823425843,72200.0,144400
19639,67169,76561198842848216,75900.0,151800
19640,67169,76561198959824088,77600.0,155200
19641,67169,76561198966340160,77350.0,154700
19642,67170,76561198006466707,72866.66666666667,218600
19643,67170,76561198012944495,70866.66666666667,212600
19644,67170,76561198044146694,71950.0,215850
19645,67170,76561198054042778,75900.0,227700
19646,67170,76561198057282432,74750.0,224250
19647,67170,76561198080114546,74200.0,222600
19648,67170,76561198110227012,71250.0,213750
19649,67170,76561198201921879,73716.66666666667,221150
19650,67170,76561198222442504,71533.33333333333,214600
19651,67170,76561198243287992,72483.33333333333,217450
19652,67171,76561198037812456,64575.0,129150
19653,67171,76561198044118796,65425.0,130850
19654,67171,76561198052546265,63275.0,126550
19655,67171,76561198067348168,62725.0,125450
19656,67171,76561198077214347,55275.0,110550
19657,67171,76561198083485506,61025.0,122050
19658,67171,76561198096933265,56375.0,112750
19659,67171,76561198127628329,54325.0,108650
19660,67171,76561198160486877,55225.0,110450
19661,67171,76561198294381090,54625.0,109250
19662,67172,76561197960690195,67125.0,134250
19663,67172,76561197980158081,57600.0,115200
19664,67172,76561197999004010,66625.0,133250
19665,67172,76561198001151695,66275.0,132550
19666,67172,76561198020624803,59050.0,118100
19667,67172,76561198066693739,68375.0,136750
19668,67172,76561198098421988,56650.0,113300
19669,67172,76561198156353883,58050.0,116100
19670,67172,76561198156369374,57100.0,114200
19671,67172,76561198191236195,68425.0,136850
19672,67173,76561197971119322,81075.0,162150
19673,67173,76561197994657430,79475.0,158950
19674,67173,76561198033152432,77450.0,154900
19675,67173,76561198036033549,82075.0,164150
19676,67173,76561198051727799,81025.0,162050
19677,67173,76561198100733569,77950.0,155900
19678,67173,76561198121271420,81825.0,163650
19679,67173,76561198252982142,77450.0,154900
19680,67173,76561198996491569,77950.0,155900
19681,67173,76561199161452558,76550.0,153100
19682,67174,76561197964297736,56700.0,113400
19683,67174,76561197971316261,59000.0,118000
19684,67174,76561197994380596,65775.0,131550
19685,67174,76561197994888003,65925.0,131850
19686,67174,76561198003142163,64475.0,128950
19687,67174,76561198009411160,55850.0,111700
19688,67174,76561198016806284,57700.0,115400
19689,67174,76561198054820484,65725.0,131450
19690,67174,76561198058204642,57750.0,115500
19691,67174,76561198278441856,65675.0,131350
19692,67175,76561197961460718,86400.0,259200
19693,67175,76561197993759963,84533.33333333333,253600
19694,67175,76561198042462102,86116.66666666667,258350
19695,67175,76561198049794434,88250.0,264750
19696,67175,76561198066701530,86383.33333333333,259150
19697,67175,76561198103622736,84466.66666666667,253400
19698,67175,76561198118646644,87433.33333333333,262300
19699,67175,76561198120491311,88816.66666666667,266450
19700,67175,76561198130490651,85816.66666666667,257450
19701,67175,76561198154095163,86833.33333333333,260500
19702,67176,76561198035510513,82616.66666666667,247850
19703,67176,76561198065294895,79116.66666666667,237350
19704,67176,76561198068998055,80533.33333333333,241600
19705,67176,76561198071291375,80883.33333333333,242650
19706,67176,76561198084163512,80366.66666666667,241100
19707,67176,76561198085521869,81150.0,243450
19708,67176,76561198123400196,81666.66666666667,245000
19709,67176,76561198129824467,78600.0,235800
19710,67176,76561198180321083,79866.66666666667,239600
19711,67176,76561199046478501,81016.66666666667,243050
19712,67177,76561197970141954,89666.66666666667,269000
19713,67177,76561197982141573,91516.66666666667,274550
19714,67177,76561197986829261,94416.66666666667,283250
19715,67177,76561198005107817,90233.33333333333,270700
19716,67177,76561198026827950,88900.0,266700
19717,67177,76561198030921948,88700.0,266100
19718,67177,76561198076696741,95050.0,285150
19719,67177,76561198102708779,91783.33333333333,275350
19720,67177,76561198107012488,94250.0,282750
19721,67177,76561198316706174,89866.66666666667,269600
19722,67178,76561197962957566,82200.0,164400
19723,67178,76561197992220633,82000.0,164000
19724,67178,76561198000828093,77675.0,155350
19725,67178,76561198061787931,77425.0,154850
19726,67178,76561198061971891,80325.0,160650
19727,67178,76561198074461526,83400.0,166800
19728,67178,76561198097846255,77975.0,155950
19729,67178,76561198145536583,81000.0,162000
19730,67178,76561198306916859,84500.0,169000
19731,67178,76561198976995212,79975.0,159950
19732,67179,76561197974106188,66600.0,199800
19733,67179,76561197977791735,67500.0,202500
19734,67179,76561197999855911,70216.66666666667,210650
19735,67179,76561198001557762,68583.33333333333,205750
19736,67179,76561198007588478,70266.66666666667,210800
19737,67179,76561198033392496,67650.0,202950
19738,67179,76561198077245619,69616.66666666667,208850
19739,67179,76561198119114947,68683.33333333333,206050
19740,67179,76561198170631091,70433.33333333333,211300
19741,67179,76561198202134392,67000.0,201000
19742,67180,76561198018211001,83075.0,166150
19743,67180,76561198044146694,85975.0,171950
19744,67180,76561198057282432,89275.0,178550
19745,67180,76561198102158293,81525.0,163050
19746,67180,76561198110227012,84625.0,169250
19747,67180,76561198129793636,83625.0,167250
19748,67180,76561198130153710,81275.0,162550
19749,67180,76561198201921879,85625.0,171250
19750,67180,76561198243287992,86875.0,173750
19751,67180,76561198316213980,83225.0,166450
19752,67181,76561197986115883,70725.0,141450
19753,67181,76561197999712198,60975.0,121950
19754,67181,76561198003756239,60375.0,120750
19755,67181,76561198004152811,60125.0,120250
19756,67181,76561198007184371,59525.0,119050
19757,67181,76561198040541875,70525.0,141050
19758,67181,76561198076388653,59475.0,118950
19759,67181,76561198119125949,71575.0,143150
19760,67181,76561198155832452,71975.0,143950
19761,67181,76561198812071682,70175.0,140350
19762,67182,76561198004901994,75925.0,151850
19763,67182,76561198050533967,65650.0,131300
19764,67182,76561198057310288,74075.0,148150
19765,67182,76561198057459990,73725.0,147450
19766,67182,76561198093233713,72825.0,145650
19767,67182,76561198103921828,68250.0,136500
19768,67182,76561198108147696,66550.0,133100
19769,67182,76561198329484688,70625.0,141250
19770,67182,76561198811869293,65750.0,131500
19771,67182,76561198862233341,65400.0,130800
19772,67183,76561197962148507,76900.0,153800
19773,67183,76561197972985852,72875.0,145750
19774,67183,76561197995898576,74975.0,149950
19775,67183,76561198026835980,74475.0,148950
19776,67183,76561198027348753,76600.0,153200
19777,67183,76561198031908632,77500.0,155000
19778,67183,76561198033533067,73375.0,146750
19779,67183,76561198146202997,77700.0,155400
19780,67183,76561198176456023,74625.0,149250
19781,67183,76561198210763837,75300.0,150600
19782,67184,76561198033152432,75350.0,150700
19783,67184,76561198068998055,77350.0,154700
19784,67184,76561198084163512,80200.0,160400
19785,67184,76561198100733569,73050.0,146100
19786,67184,76561198123400196,79450.0,158900
19787,67184,76561198129824467,76600.0,153200
19788,67184,76561198180321083,75750.0,151500
19789,67184,76561198252982142,73200.0,146400
19790,67184,76561198996491569,74250.0,148500
19791,67184,76561199161452558,74350.0,148700
19792,67185,76561197961198495,84125.0,168250
19793,67185,76561197962710908,83125.0,166250
19794,67185,76561197976197744,83825.0,167650
19795,67185,76561198002132867,82425.0,164850
19796,67185,76561198013172503,84225.0,168450
19797,67185,76561198092690259,81800.0,163600
19798,67185,76561198138113790,81550.0,163100
19799,67185,76561198152075689,81800.0,163600
19800,67185,76561198215214621,83750.0,167500
19801,67185,76561198260959350,79200.0,158400
19802,67186,76561197963914156,72900.0,218700
19803,67186,76561197972331023,71300.0,213900
19804,67186,76561198018211001,74616.66666666667,223850
19805,67186,76561198102158293,74283.33333333333,222850
19806,67186,76561198129084615,73966.66666666667,221900
19807,67186,76561198129793636,76783.33333333333,230350
19808,67186,76561198130153710,73350.0,220050
19809,67186,76561198154904607,72533.33333333333,217600
19810,67186,76561198316213980,76116.66666666667,228350
19811,67186,76561198859428279,75100.0,225300
19812,67187,76561197963504595,71166.66666666667,213500
19813,67187,76561197964604204,69566.66666666667,208700
19814,67187,76561198007789991,67466.66666666667,202400
19815,67187,76561198030911129,70333.33333333333,211000
19816,67187,76561198042070812,69966.66666666667,209900
19817,67187,76561198095793955,67250.0,201750
19818,67187,76561198152378187,67283.33333333333,201850
19819,67187,76561198165327895,66683.33333333333,200050
19820,67187,76561198172837021,68050.0,204150
19821,67187,76561198234835452,65183.333333333336,195550
19822,67188,76561198029535730,105150.0,105150
19823,67188,76561198044146694,99550.0,99550
19824,67188,76561198050427475,108650.0,108650
19825,67188,76561198053792941,107050.0,107050
19826,67188,76561198057282432,97850.0,97850
19827,67188,76561198076204322,102950.0,102950
19828,67188,76561198110227012,99850.0,99850
19829,67188,76561198147205437,107050.0,107050
19830,67188,76561198201921879,102150.0,102150
19831,67188,76561198243287992,98750.0,98750
19832,67189,76561198003521527,76450.0,152900
19833,67189,76561198014818598,76100.0,152200
19834,67189,76561198087658989,75950.0,151900
19835,67189,76561198156362373,71575.0,143150
19836,67189,76561198161879817,71075.0,142150
19837,67189,76561198170649897,74550.0,149100
19838,67189,76561198312729649,71925.0,143850
19839,67189,76561198837117408,76800.0,153600
19840,67189,76561199032094061,71325.0,142650
19841,67189,76561199063068840,70425.0,140850
19842,67190,76561197960690195,78566.66666666667,235700
19843,67190,76561197983956651,77716.66666666667,233150
19844,67190,76561197990682262,79216.66666666667,237650
19845,67190,76561197999004010,80033.33333333333,240100
19846,67190,76561198001151695,80266.66666666667,240800
19847,67190,76561198004854956,78550.0,235650
19848,67190,76561198066693739,78700.0,236100
19849,67190,76561198110563159,78383.33333333333,235150
19850,67190,76561198131369187,78516.66666666667,235550
19851,67190,76561198191236195,78333.33333333333,235000
19852,67191,76561197970141954,97775.0,195550
19853,67191,76561198005107817,99075.0,198150
19854,67191,76561198026827950,97775.0,195550
19855,67191,76561198030921948,101075.0,202150
19856,67191,76561198037812456,97425.0,194850
19857,67191,76561198044118796,99125.0,198250
19858,67191,76561198052546265,94075.0,188150
19859,67191,76561198067348168,95975.0,191950
19860,67191,76561198083485506,94025.0,188050
19861,67191,76561198316706174,98775.0,197550
19862,67192,76561197980539257,91833.33333333333,275500
19863,67192,76561197980936538,94566.66666666667,283700
19864,67192,76561198026618874,94016.66666666667,282050
19865,67192,76561198052775739,92283.33333333333,276850
19866,67192,76561198070287904,93950.0,281850
19867,67192,76561198126171426,94283.33333333333,282850
19868,67192,76561198197951546,95400.0,286200
19869,67192,76561198300934672,93700.0,281100
19870,67192,76561198327980204,94583.33333333333,283750
19871,67192,76561198833874690,93233.33333333333,279700
19872,67193,76561197971119322,77437.5,309750
19873,67193,76561197994657430,76462.5,305850
19874,67193,76561198035510513,81087.5,324350
19875,67193,76561198036033549,77812.5,311250
19876,67193,76561198051727799,77212.5,308850
19877,67193,76561198065294895,79587.5,318350
19878,67193,76561198071291375,81737.5,326950
19879,67193,76561198085521869,82412.5,329650
